id,name,size,proof,abv,spirit_type,brand_id,popularity,image_url,avg_msrp,fair_price,shelf_price,total_score,wishlist_count,vote_count,bar_count,ranking
4776,Pappy Van Winkle 20 Year Family Reserve,750,,45.2,Bourbon,370,1800,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recCRPpOTPWSMLbAX,218.31,1072.05,2399.9,3557,2117,1073,367,105
1708,Bowman Brothers Small Batch,750,90,45,Bourbon,687,100049,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recQSlXJhJDlKP5Uw,31.35,55.59,33.58,3532,283,877,2372,106
2849,Hancock's President's Reserve Bourbon,750,88.9,44.45,Bourbon,2320,100043,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec4REq9DfYniR0TD,51.64,128.09,189.89,3528,654,1063,1811,107
2769,Old Forester 1897 Bottled In Bond,750,100,50,Bourbon,152,100026,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec3QXKYrHaN0oYEc,46.99,69.06,57.99,3515,622,836,2057,108
5194,Michter's US1 Kentucky Straight Rye,750,84.8,42.4,Rye,405,200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recHFkS9cxK4oVX3m,43.01,70.36,54.99,3470,294,663,2513,109
3317,Michter's Limited Release Toasted Barrel Bourbon,750,,45.7,Bourbon,405,100049,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recknpSLFePovphgH,70.66,205.5,299.99,3446,1544,913,989,110
15948,Smoke Wagon Bourbon,750,92,46,Bourbon,2808,1780,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recjZFVq7sziRYB3B,29.99,46.7,34.99,3444,465,819,2160,111
4948,Thomas H Handy,750,129.5,64.75,Rye,3684,100044,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recEncvPuVkYT03Ak,103.54,530.79,700,3440,1047,1162,1231,112
2353,Knob Creek 15 Year Batch KC001,750,,50,Bourbon,189,1600,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recYQ8t3Q61FexPtD,113.3,174.28,119.99,3432,916,1036,1480,113
3958,Basil Hayden's Bourbon,750,80,40,Bourbon,330,100027,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recsuxthI9vrYAEdF,38.95,52.11,44.13,3427,249,783,2395,114
